trusted_track_key,track_mbid,artist_mbid,track_name,track_name_norm,artist_name,artist_name_norm,duration_seconds,url,image_url,source_type,source_value,source_page,run_id,ingested_at_utc,trusted_processed_at_utc
mbid::0000068e-0b79-4b50-a04e-a7c5aed44cd7,0000068e-0b79-4b50-a04e-a7c5aed44cd7,f181961b-20f7-459e-89de-920ef03c7ed0,Someday,someday,The Strokes,the strokes,267,https://www.last.fm/music/The+Strokes/_/Someday,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,indie,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0000f1a0-039c-42d4-9f66-6a7822deb887,0000f1a0-039c-42d4-9f66-6a7822deb887,,"Piano Concerto No. 2 in C minor, Op. 18: I. Moderato",piano concerto no 2 in c minor op 18 i moderato,Sergei Rachmaninoff,sergei rachmaninoff,701,"https://www.last.fm/music/Sergei+Rachmaninoff/_/Piano+Concerto+No.+2+in+C+minor,+Op.+18:+I.+Moderato",https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,classical,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::000125d9-cf0d-3354-926b-704befae9577,000125d9-cf0d-3354-926b-704befae9577,f59c5520-5f46-4d2c-b2c4-822eabf53419,In the End,in the end,Linkin Park,linkin park,216,https://www.last.fm/music/Linkin+Park/_/In+the+End,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,rock,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0003b5a9-8b28-42ec-8aae-de28233711d2,0003b5a9-8b28-42ec-8aae-de28233711d2,302bd7b9-d012-4360-897a-93b00c855680,Memories (feat. Kid Cudi),memories feat kid cudi,David Guetta,david guetta,210,https://www.last.fm/music/David+Guetta/_/Memories+(feat.+Kid+Cudi),https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,dance,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0003bfae-de0a-315a-9249-9f094129cc11,0003bfae-de0a-315a-9249-9f094129cc11,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,Jumbo,jumbo,Underworld,underworld,246,https://www.last.fm/music/Underworld/_/Jumbo,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,techno,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0003d855-0691-3e1c-b8de-f53254f6a2ae,0003d855-0691-3e1c-b8de-f53254f6a2ae,5b11f4ce-a62d-471e-81fc-a69a8278c7da,Come as You Are,come as you are,Nirvana,nirvana,220,https://www.last.fm/music/Nirvana/_/Come+as+You+Are,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,rock,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::000447ee-0f7a-3e17-abe9-a4010f698b05,000447ee-0f7a-3e17-abe9-a4010f698b05,67930b3e-e00b-469f-8c74-fd69f20522ec,Paradise,paradise,Sade,sade,244,https://www.last.fm/music/Sade/_/Paradise,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,jazz,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0004b627-3cf0-45c3-b9f7-8dc083625bba,0004b627-3cf0-45c3-b9f7-8dc083625bba,a8806b5c-3ee0-4277-94d3-1a5427a7707c,Still Got the Blues,still got the blues,Gary Moore,gary moore,370,https://www.last.fm/music/Gary+Moore/_/Still+Got+the+Blues,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,blues,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0004e1b7-4808-41da-9fe1-ec4057b8313e,0004e1b7-4808-41da-9fe1-ec4057b8313e,,"Piano Concerto No. 2 in C minor, Op. 18: II. Adagio sostenuto",piano concerto no 2 in c minor op 18 ii adagio sostenuto,Sergei Rachmaninoff,sergei rachmaninoff,634,"https://www.last.fm/music/Sergei+Rachmaninoff/_/Piano+Concerto+No.+2+in+C+minor,+Op.+18:+II.+Adagio+sostenuto",https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,classical,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0004ecb7-a150-46b7-97ce-c648e8c1dd7d,0004ecb7-a150-46b7-97ce-c648e8c1dd7d,c296e10c-110a-4103-9e77-47bfebb7fb2e,Is This Love,is this love,Bob Marley & The Wailers,bob marley the wailers,232,https://www.last.fm/music/Bob+Marley+&+The+Wailers/_/Is+This+Love,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,reggae,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::0004f2d9-0121-3a02-b14c-85f72bd8accd,0004f2d9-0121-3a02-b14c-85f72bd8accd,c296e10c-110a-4103-9e77-47bfebb7fb2e,Sun Is Shining,sun is shining,Bob Marley & The Wailers,bob marley the wailers,132,https://www.last.fm/music/Bob+Marley+&+The+Wailers/_/Sun+Is+Shining,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,reggae,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
mbid::000613fe-b722-3571-beef-6a7a77d05c8c,000613fe-b722-3571-beef-6a7a77d05c8c,fb7272ba-f130-4f0a-934d-6eeea4c18c9a,Let's Stay Together,lets stay together,Al Green,al green,197,https://www.last.fm/music/Al+Green/_/Let%27s+Stay+Together,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,tag,soul,1,20260513T155352Z,2026-05-13T15:53:52.222280+00:00,2026-05-13T15:55:20.490873+00:00
