track_mbid,artist_name,artist_name_norm,track_name,track_name_norm,resolution_method,resolution_status,matched_recording_mbid,resolved_mbid,search_score,isrc,run_id,resolved_at_utc,trusted_processed_at_utc
0364a780-e302-3431-bb6c-33eca100b5e1,Björk,bjork,It's Oh So Quiet,its oh so quiet,mbid_then_search_no_isrc,search_no_isrc,9480b051-b50c-4f56-9c12-25eda03dc43a,0364a780-e302-3431-bb6c-33eca100b5e1,100.0,,20260513T155412Z,2026-05-13T15:54:22.099326+00:00,2026-05-13T15:55:29.457062+00:00
004c33c5-25e6-497e-b1b8-9be1504ea885,Luther Vandross,luther vandross,Never Too Much,never too much,mbid_then_search_no_isrc,search_no_isrc,db75ca1c-8760-43fb-b57b-cf0d504664d2,004c33c5-25e6-497e-b1b8-9be1504ea885,100.0,,20260513T155412Z,2026-05-13T15:54:52.124781+00:00,2026-05-13T15:55:29.457062+00:00
01aeab40-dfec-3b97-a0ea-adb08c22c536,Green Day,green day,Holiday,holiday,mbid_then_search_no_isrc,search_no_isrc,efdf9683-fe2a-4013-b783-21efd6ea8efc,01aeab40-dfec-3b97-a0ea-adb08c22c536,100.0,,20260513T155412Z,2026-05-13T15:55:13.282999+00:00,2026-05-13T15:55:29.457062+00:00
00e6a77b-659b-3f9f-8ce7-3210072765fc,Charles Mingus,charles mingus,Goodbye Pork Pie Hat,goodbye pork pie hat,mbid_then_search_no_isrc,search_no_isrc,6623f4fa-9b77-47f1-9549-b5bfdb79a5a4,00e6a77b-659b-3f9f-8ce7-3210072765fc,100.0,,20260513T155412Z,2026-05-13T15:54:20.216282+00:00,2026-05-13T15:55:29.457062+00:00
0063bb06-4e74-464d-97ae-b82f90bcb222,Coldplay,coldplay,Yellow,yellow,mbid_then_search_no_isrc,search_no_isrc,22e84ec5-93bd-4441-8246-7e439a6c9090,0063bb06-4e74-464d-97ae-b82f90bcb222,100.0,,20260513T155412Z,2026-05-13T15:54:18.439242+00:00,2026-05-13T15:55:29.457062+00:00
00a022bc-0ae4-3823-89ef-058d736e211d,The Ink Spots,the ink spots,I Don't Want to Set the World on Fire,i dont want to set the world on fire,mbid_then_search_no_isrc,search_no_isrc,b335dbd7-b138-4d7d-bca1-958f38446775,00a022bc-0ae4-3823-89ef-058d736e211d,100.0,,20260513T155412Z,2026-05-13T15:54:23.939389+00:00,2026-05-13T15:55:29.457062+00:00
00cda44f-3377-4536-8418-c364665d0b70,Pitbull,pitbull,Timber,timber,mbid_then_search_no_isrc,search_no_isrc,f020bfce-d729-4987-9702-acbb5a27ee84,00cda44f-3377-4536-8418-c364665d0b70,100.0,,20260513T155412Z,2026-05-13T15:54:53.860761+00:00,2026-05-13T15:55:29.457062+00:00
00070705-f7ed-38f7-b8f3-ad3c0ca330bc,The Jackson 5,the jackson 5,I Want You Back,i want you back,mbid_then_search_no_isrc,search_no_isrc,1e0ff808-2c05-443e-8e55-df94bb80a58f,00070705-f7ed-38f7-b8f3-ad3c0ca330bc,100.0,,20260513T155412Z,2026-05-13T15:54:48.635751+00:00,2026-05-13T15:55:29.457062+00:00
036b0834-4ac1-3d57-b7e8-cf29428e26ce,Bob Marley & The Wailers,bob marley the wailers,"Roots, Rock, Reggae",roots rock reggae,mbid_then_search_no_isrc,search_no_isrc,32a3b72e-c474-47ac-962a-a123e9656681,036b0834-4ac1-3d57-b7e8-cf29428e26ce,100.0,,20260513T155412Z,2026-05-13T15:54:36.497252+00:00,2026-05-13T15:55:29.457062+00:00
03c79e71-ebd0-4336-9d1c-74c60eb878c4,Fleetwood Mac,fleetwood mac,Need Your Love so Bad,need your love so bad,mbid_then_search_no_isrc,search_no_isrc,41b77831-47f0-4428-a36b-b4eed29524a7,03c79e71-ebd0-4336-9d1c-74c60eb878c4,100.0,,20260513T155412Z,2026-05-13T15:54:43.296325+00:00,2026-05-13T15:55:29.457062+00:00
04738cd5-78b7-3fcb-9a94-e2807f960c53,Shakira,shakira,Si Te Vas,si te vas,search,search_ok,f9f2a3d4-762a-44ad-8be1-ebd9e2110ffc,04738cd5-78b7-3fcb-9a94-e2807f960c53,100.0,NLB630010002,20260513T155412Z,2026-05-13T15:55:14.993923+00:00,2026-05-13T15:55:29.457062+00:00
0491d8f5-42f8-4f6d-8961-13d093eb1a08,Charlie Puth,charlie puth,Attention,attention,mbid_then_search_no_isrc,search_no_isrc,318d12f7-4e91-4583-936a-3693041fe5dc,0491d8f5-42f8-4f6d-8961-13d093eb1a08,100.0,,20260513T155412Z,2026-05-13T15:54:16.674227+00:00,2026-05-13T15:55:29.457062+00:00
018270a8-f813-307b-8de6-eabb2b3220da,Michael Jackson,michael jackson,Remember the Time,remember the time,mbid_then_search_no_isrc,search_no_isrc,080ec483-0a7b-4d4b-8ca2-5af9207172b1,018270a8-f813-307b-8de6-eabb2b3220da,100.0,,20260513T155412Z,2026-05-13T15:54:13.195269+00:00,2026-05-13T15:55:29.457062+00:00
04de8225-0765-4e6c-bb34-4b965becf6e4,Spiller,spiller,Groovejet (If This Ain't Love),groovejet if this aint love,mbid_then_search_no_isrc,search_no_isrc,186fbfce-8c14-4229-b29a-a5c96612cb4e,04de8225-0765-4e6c-bb34-4b965becf6e4,100.0,,20260513T155412Z,2026-05-13T15:55:11.600946+00:00,2026-05-13T15:55:29.457062+00:00
0574da72-5d37-4d70-9b4e-cde26d15584d,Kendrick Lamar,kendrick lamar,A.D.H.D,adhd,search,search_ok,5fb18e9d-fb24-4d96-8410-032d3fc89568,0574da72-5d37-4d70-9b4e-cde26d15584d,100.0,USUYG1008102,20260513T155412Z,2026-05-13T15:54:32.781079+00:00,2026-05-13T15:55:29.457062+00:00
0601b141-aa50-375f-b375-0c00724e8e00,Boards of Canada,boards of canada,Kaini Industries,kaini industries,mbid_then_search_no_isrc,search_no_isrc,576d25d0-039c-4afd-9385-3ba84cc52789,0601b141-aa50-375f-b375-0c00724e8e00,100.0,,20260513T155412Z,2026-05-13T15:54:55.571992+00:00,2026-05-13T15:55:29.457062+00:00
